C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,nonce
2092658267,-574842241,-1572683992,1248242034,-1960307074,362202520,186233235,1471336553,89556
522815876,535331102,860203424,226103383,-1216777611,734006107,1298237777,192853200,89557
-1165681619,340721993,-1975633936,-211953284,117297430,-1877055648,-1467387058,436071012,89558
934472146,276156250,1159006480,-848783479,-173364777,1363574545,-1096997978,258496282,89559
-1548619894,-102247056,729479552,1606931778,907212396,707553058,-130643108,-37083630,89560
-106751679,1792872738,965395871,-1770141058,-137824783,1898441862,2000918916,2093294970,89561
2084279667,-113109796,577761910,-1977517038,-511836966,-105634410,-270459301,2119089984,89562
-1374077535,1398683057,659444789,1808498227,-1518921500,2062563963,231496644,-531094850,89563
1309188318,-1244145224,-330171158,-1646066069,1608384803,-1962065104,-548730444,-262579608,89564
-857595814,-258499770,1855419169,-1222590883,1258866865,1366230192,-240123464,-1368528895,89565
2135533630,1800238439,-122839030,600108148,-864834990,1739715608,1911753705,916631089,89566
-2027253558,1609493645,-2136549961,-12617343,-1719185301,1407739122,-595354617,157506920,89567
857188604,-1611071250,638112732,-967181903,-2051192780,287390374,1605054816,1733632618,89568
1700837715,1826911605,-1982124034,-268121281,1341258261,2129662594,-688425967,-1235946769,89569
266473949,-1795347705,-798405512,-126269169,-1125754796,624010508,-1623600567,-2092792964,89570
-524305982,1275708630,-1627210304,513544918,163221659,-885709668,-88075133,-1248055920,89571
-2070876189,-1834941076,-1877882670,-1167335810,-1445753953,65685226,1972889581,-508409952,89572
-1256142418,205978607,1390640724,-1689465891,834332016,-1526023670,1314873125,25729289,89573
522135937,1403422412,-513963370,-1032105431,999248394,-751713869,1561887826,1435393245,89574
-1357920563,-1803922834,-159405847,-906668693,-835580820,-246042851,1695986734,1774414751,89575
-637044201,-1803514691,-1759282592,1761184173,692043076,1453288851,863329680,397806425,89576
-1695756059,1447167416,-1817610871,1288046874,234198432,1307508964,1427401925,434970792,89577
798308622,1977951671,1983795941,-1856137788,-466942760,1532497738,1270980402,-2022841826,89578
1225999623,-3680269,-1186904498,-957377805,-357710389,874218730,-766901134,2140036774,89579
1794641471,-1354141496,780081837,-870631758,405683629,-12758441,574612777,-451562465,89580
-878003712,1452320709,142404810,131675219,-1054736931,232296461,-1253458887,-220634744,89581
-2039345173,170840451,-1990036592,332743755,-1321046630,769204003,33520577,878199942,89582
135493211,1605507160,1839095845,169029342,1756437633,1668713481,767805306,2137349114,89583
-2077987792,-2044728021,2137545844,-464329079,-938551771,554487448,1067949741,1899393699,89584
-2022484792,96907513,-1714084176,1833647429,-1969651344,897380388,-57887881,-1649739351,89585
1306411286,1014688991,224693359,156944338,209080994,58892552,-305276577,-741344957,89586
1063537661,841553608,-1651577227,-2031910850,-1441188666,-123662273,1191966587,-985620748,89587
-841575503,1292082761,1222022182,-1440073359,1672731159,2130476963,-21627872,-1102484200,89588
-1232099389,-950073072,-1533860702,1881337518,727074367,-2121996187,1907342221,-1710067025,89589
-1087033338,-2021923192,-1028434932,-1264488991,-1397251629,-1132434922,-232170236,864484666,89590
1827345906,1534624964,299321158,1638472086,2052627566,-1710779503,-1384017106,-648471472,89591
-1044821594,-1169373183,-160439042,1041586001,-1366600893,-1118726331,-1537695034,1788314085,89592
-1784287766,429915659,-1090542242,2088194628,-1707347096,-1243482199,-1361725304,1333802499,89593
-866691035,-1080193037,-172704263,-1576420311,743360012,1008438851,1837645298,-1907718185,89594
1113400452,24103571,-1523354360,267183560,165963072,-2062282279,-1531377434,1494483532,89595
1278555672,1276168331,-1581500919,-931129404,-1798543447,1853952672,-153415455,-649369774,89596
772382482,-1421393674,-324287178,837988830,946743625,545720950,748358453,-1739584965,89597
7847943,791012858,-1240856283,49600311,-1710627046,523132361,-595197460,211098749,89598
895454611,1827352228,-1503403194,527831900,-606395024,-1351272238,-1380203653,-1813073364,89599
439432760,837473517,-1109790573,2122732563,899945555,-968518944,467263049,-1419642974,89600
-338136932,1489189474,585185593,-1632770307,-1993819882,-41205412,495553124,187487252,89601
-1580769541,-1295279389,1810632400,-272126305,-176360175,997488754,463196700,-182279577,89602
-1784320125,1312144657,748907105,184362163,299758603,-200999545,210925135,1573152501,89603
1049632345,-1278967818,1152637329,-84818125,1764429890,782605932,-961829273,-1679142019,89604
-268603089,1545550772,1000008228,-650398619,1437028840,-384205171,1718375055,-68030079,89605
-1127681720,-1458714962,-694882765,-63646000,870109143,325630611,-1294755303,365141771,89606
-357833305,957854374,-505215863,970599685,-1011059052,-1962824101,885370210,2017628474,89607
-193751879,732543107,1507894358,1621820135,855675053,-1112520923,-277062885,746516896,89608
1647063664,1629984112,-1663368759,-1038058890,-830899417,1581979439,-2026085263,-454397726,89609
297284089,222679,-1783799093,-1030977876,1731921513,1384840421,994429541,-1154734079,89610
-2011798360,112165216,1269609076,-1195520495,236520830,1701219792,1896852292,-964016173,89611
-233902963,1818047506,-890797004,-1277906341,1941542017,-1399576884,1829338105,1432256395,89612
-1557439295,2093076084,-1413164385,-261014213,-955279557,-1353475746,-201409142,-1973279437,89613
-1474540940,206890938,495055903,867185232,-1834091956,236678431,144177164,1072391861,89614
647165945,-175126779,937296163,321718831,-1935344963,-12496867,940796674,1382485061,89615
151393100,716037929,-288254529,-600605781,-1077598754,1009399339,2021780692,-2007358238,89616
-1031105141,-1111632622,1423509471,-2051444806,-87367859,-1562768455,-981194574,216838613,89617
-571969916,-1155581582,-108755619,-2136546394,-2054957378,1077250769,-1093310179,-632391088,89618
-1703627446,1373284977,1610697951,372720032,-1276438101,2044007964,493776716,1671419342,89619
-1384420994,390742505,-1603987547,1815056811,-1982938759,1581128895,2048997155,-131102526,89620
1498943620,734060115,1740343140,2049288942,583357115,-348922534,-579999138,1980157752,89621
2058773424,-1444295944,2092983026,763965499,-776398096,1167583671,522773178,-1664259024,89622
-80473996,676735932,1602970302,-991933272,1049580652,-738184691,-258128356,-1400314401,89623
1959391461,-1115146468,1439935098,1616246219,-1697141917,1327969299,627230113,-1930941242,89624
2088476318,820081791,953231088,620739873,-282517212,-304197366,-1751157943,185685891,89625
-1910166665,-1498952814,-1956411979,-1428123116,667101624,-314715104,392106129,-1816561831,89626
