C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
1,619589856,535993706,15,173573587,71156,432434410,1044759837
2,665842276,691618937,13,402340312,12165,496218343,3831644
3,268969482,345709530,1,543429502,749812,496218343,947918465
4,96849461,955329674,4,457113451,286683,145169404,187323268
5,693831715,12562557,3,878921830,79447,851529209,460388148
6,869719626,238276528,20,90069402,763857,496218343,891112581
7,622976577,928504372,18,360760462,956195,496218343,1006314953
8,799811088,739012054,17,397845471,681974,432434410,958006964
9,124167162,692592077,8,874381395,832407,342224351,990356101
10,844173543,751336886,5,221692787,275354,851529209,627271596
11,986112608,125525002,23,491752305,-27260,432434410,432395511
12,623775599,1025874695,13,936520442,339649,851529209,324191945
13,1054143389,839210379,3,790833895,385734,432434410,338545699
14,650427749,176313154,1,142872410,526630,342224351,796462508
15,499459169,511985348,23,88896030,278852,851529209,907899701
16,520405431,805398557,10,209407577,468103,342224351,41457097
17,377123418,633957982,2,5696250,634,496218343,107396100
18,577981087,990229864,6,939942874,549443,432434410,951869303
19,1072349833,228475910,18,147161903,891470,851529209,920717164
20,317458715,66916592,22,598722808,760340,342224351,373946658
21,246736068,897135456,8,79907448,142825,145169404,159783198
22,341562420,625332100,3,612452838,59198,145169404,215469947
23,239949220,431029208,3,559856857,333202,851529209,562773145
24,762549298,45495920,13,696037210,925567,145169404,34744289
25,670337118,100913631,12,334947623,713370,342224351,1069306037
26,638823195,563107904,22,491699039,518205,496218343,78769084
27,157889604,118029082,3,340878694,567984,432434410,781625116
28,827744741,143960225,8,872938941,100718,342224351,600370449
29,433078375,148847780,0,697362273,761827,342224351,772378077
30,894878205,327580234,1,534753771,932101,432434410,370610179
31,20423870,251809445,23,1004811738,523689,851529209,805381480
32,32763316,176023234,15,883806634,347153,432434410,571897557
33,655143958,328866872,17,1065878596,-7856,496218343,465466639
34,191279548,536237464,15,820865854,858970,851529209,86208833
35,282473319,822180623,17,342946588,122824,851529209,619302441
36,565090888,1058636404,21,835941809,498727,432434410,703428735
37,1005791131,973462099,8,961902750,-91775,342224351,432136848
38,712231573,782489172,12,1051426466,634511,851529209,574311161
39,1049736735,302616697,2,472957367,626431,496218343,1066241183
40,901750616,378060759,3,366131627,133530,432434410,260822606
41,797899428,447571015,10,90829947,27095,851529209,468449982
42,660008205,679265735,5,911079723,872701,432434410,827359108
43,85383108,945396273,19,656934723,990428,145169404,834969913
44,399791940,1031710141,16,932812827,731594,496218343,888864779
45,400779266,220663108,9,462904520,998337,496218343,323833688
46,1064806192,375721415,6,768659213,574459,496218343,1051467976
47,506320170,466790493,2,702199008,27458,432434410,429778198
48,1034605971,76712472,0,791637513,379250,432434410,666422163
49,648365863,871647702,10,211838727,457393,342224351,840475987
50,475156196,414956717,6,189530031,426613,145169404,565757235
51,595132772,46351790,12,200748936,85587,342224351,608200351
52,181331618,811895650,11,270731088,563028,851529209,625594362
53,374532574,830644663,15,898709778,411364,851529209,447468118
54,478889064,646883724,4,944040890,86890,496218343,35090688
55,652922990,947281228,10,306425280,457210,145169404,799993608
56,327733240,873996111,10,531754549,653086,342224351,700484432
57,580802889,758298629,21,32118384,415193,496218343,1062584953
58,76603675,913910058,13,927368848,647846,851529209,895084327
59,324326066,925485111,1,895118342,345860,145169404,984900194
60,678692028,256142328,12,649351134,274187,145169404,297384816
61,709387906,371933673,17,485910130,153624,342224351,853623079
62,824407951,891374122,7,43334567,59561,145169404,847544420
63,356350427,241286065,21,1051701617,933112,496218343,966627837
64,1055985301,177817030,3,1020217837,-64664,432434410,863991458
65,324032989,587070393,23,2549886,879516,496218343,1048870161
66,288222519,876336552,22,900108631,24277,851529209,722704483
67,305422725,904692909,9,75039452,816659,145169404,58123165
68,136811942,849177005,12,717736219,685337,851529209,829500356
69,792379502,771318236,9,132844233,170928,851529209,145820392
70,35962093,387978895,22,779220689,486752,342224351,536101364
71,950204504,260866230,7,450843285,-61119,851529209,852637150
72,870504831,673186806,2,513266153,-36286,342224351,1036875577
73,311974199,156598602,0,734082086,428850,432434410,40091405
74,425290368,60720240,4,580923285,276443,145169404,1014226000
75,890202782,978659071,18,799997357,668410,496218343,413768194
76,320187127,827847945,0,798736721,574533,342224351,170705084
77,949012060,875296300,17,439105298,173887,432434410,433095226
78,885146700,404355222,9,437576884,713697,342224351,435765565
79,68307376,258915755,15,1007040230,512128,145169404,270991260
80,393319330,348637615,0,238861056,738353,342224351,248324692
81,231649487,582043367,20,772399910,202371,432434410,361579127
82,771701359,721780917,18,822687488,946834,496218343,424624843
83,859342324,229676025,22,213771264,646351,432434410,350357704
84,249203281,761620470,11,610605544,517471,342224351,344137647
85,572656795,586604085,5,57376054,338664,342224351,743324823
86,823605841,280249047,0,23423387,330632,851529209,891965770
87,652836376,55623003,23,630092819,632754,342224351,317118743
88,844705813,475309661,16,41687080,803144,496218343,652672927
89,1003969382,249466003,14,946605738,153076,342224351,543390718
90,360465794,237449252,16,936799937,735423,432434410,907461870
91,701054585,492431197,8,143338333,464314,496218343,651044331
92,1036367539,282468528,2,289973229,118291,145169404,693073783
93,362154973,159738032,7,33374283,218252,145169404,970259597
94,1010353337,902956175,9,284684154,550011,851529209,596797714
95,715605380,257261417,15,597477540,532738,145169404,589926462
96,162672538,950191208,8,981654850,632392,496218343,155124451
97,742966023,130323477,17,499451459,216448,496218343,247152214
98,545190916,123726955,12,229675832,-55137,432434410,456166970
99,476233188,172136474,15,171413995,408865,851529209,907236180
100,149110989,986783002,20,51728625,988989,342224351,1027520303
101,2448754,517042826,2,237097369,747096,145169404,1029853468
102,266605896,691398787,19,193219129,846217,432434410,835055487
103,603929,201947125,9,991897658,275745,432434410,1012143233
104,1011047040,343564702,10,263130541,-58838,342224351,959169239
105,650020378,66333180,10,355023302,909182,145169404,176057497
106,722528700,381546779,1,217335210,328842,145169404,987699533
107,376685254,1058493653,15,141595835,251415,496218343,673760996
108,991316519,717608055,5,888626416,225938,432434410,473335353
109,703801736,758788038,16,919701333,-71610,432434410,519848434
110,213149444,426307917,10,668387701,746299,496218343,30375682
111,740869284,632350146,22,285337483,650526,145169404,284435267
112,130614405,1023779962,19,790889020,295335,342224351,839821830
113,524709689,944328912,12,45268263,291200,432434410,470426831
114,1073630935,770865358,14,110814787,102746,342224351,517314479
